file_path,result,line_number,label
algorithms/Tsp-FunUnsat01,UNKNOWN,0,UNK
algorithms/SortedListInsert-FunSat02,UNKNOWN,0,UNK
algorithms/SortedListInsert-FunUnsat01,UNKNOWN,0,UNK
algorithms/InsertionSort-FunUnsat01,False,65,TN
algorithms/Tsp-MemSat01,UNKNOWN,0,UNK
algorithms/BellmanFord-MemUnsat01,UNKNOWN,0,UNK
algorithms/InsertionSort-FunSat02,UNKNOWN,0,UNK
algorithms/BellmanFord-MemSat02,UNKNOWN,0,UNK
algorithms/RedBlackTree-FunSat01,False,45,FN
algorithms/BellmanFord-FunSat01,UNKNOWN,0,UNK
algorithms/Tsp-MemUnsat01,UNKNOWN,0,UNK
algorithms/MergeSortIterative-FunSat01,UNKNOWN,0,UNK
algorithms/InsertionSort-MemUnsat01,False,56,TN
algorithms/BinaryTreeSearch-FunUnsat01,True,0,FP
algorithms/RedBlackTree-FunUnsat01,False,45,TN
algorithms/SortedListInsert-MemUnsat01,UNKNOWN,0,UNK
algorithms/InsertionSort-FunSat01,False,65,FN
algorithms/SortedListInsert-MemSat01,UNKNOWN,0,UNK
algorithms/SortedListInsert-FunSat01,UNKNOWN,0,UNK
algorithms/MergeSortIterative-MemUnsat01,UNKNOWN,0,UNK
algorithms/Trie-MemUnsat01,False,276,TN
algorithms/Trie-FunSat01,False,276,FN
algorithms/MergeSortIterative-MemSat01,UNKNOWN,0,UNK
algorithms/Trie-FunUnsat01,False,276,TN
algorithms/BinaryTreeSearch-MemUnsat01,True,0,FP
algorithms/Tsp-FunSat01,UNKNOWN,0,UNK
algorithms/BellmanFord-MemSat01,UNKNOWN,0,UNK
algorithms/RedBlackTree-MemSat01,UNKNOWN,0,UNK
algorithms/BellmanFord-FunUnsat01,UNKNOWN,0,UNK
algorithms/MergeSortIterative-FunSat02,UNKNOWN,0,UNK
algorithms/BinaryTreeSearch-MemUnsat02,True,0,FP
algorithms/BellmanFord-FunSat02,UNKNOWN,0,UNK
algorithms/MergeSortIterative-FunUnsat01,UNKNOWN,0,UNK
algorithms/BinaryTreeSearch-FunSat01,True,0,TP
algorithms/Trie-MemSat01,False,276,FN
algorithms/InsertionSort-MemSat01,True,0,TP
algorithms/RedBlackTree-MemUnsat01,UNKNOWN,0,UNK
algorithms/BinaryTreeSearch-MemSat01,True,0,TP
algorithms/BellmanFord-FunUnsat02,UNKNOWN,0,UNK
algorithms/BellmanFord-MemUnsat02,UNKNOWN,0,UNK
jbmc-regression/bug-test-gen-095,False,16,TN
jbmc-regression/StringBuilderCapLen03,False,14,TN
jbmc-regression/StaticCharMethods01,UNKNOWN,0,UNK
jbmc-regression/StringConcatenation03,False,13,TN
jbmc-regression/StringValueOf09,False,17,TN
jbmc-regression/instanceof8,True,0,TP
jbmc-regression/instanceof6,True,0,TP
jbmc-regression/RegexSubstitution01,UNKNOWN,0,UNK
jbmc-regression/ArrayIndexOutOfBoundsException3,False,14,TN
jbmc-regression/StringMiscellaneous04,False,25,FN
jbmc-regression/calc,UNKNOWN,0,UNK
jbmc-regression/instanceof5,True,0,TP
jbmc-regression/basic1,False,15,FN
jbmc-regression/ArrayIndexOutOfBoundsException1,False,13,TN
jbmc-regression/BufferedReaderReadLine,False,36,TN
jbmc-regression/bug-test-gen-119-2,False,13,FN
jbmc-regression/ArithmeticException6,False,13,TN
jbmc-regression/NullPointerException4,False,15,TN
jbmc-regression/StringConcatenation02,False,19,TN
jbmc-regression/RegexSubstitution02,False,14,TN
jbmc-regression/synchronized,True,0,TP
jbmc-regression/StringConcatenation01,False,24,FN
jbmc-regression/exceptions12,False,29,TN
jbmc-regression/catch1,False,18,FN
jbmc-regression/long1,True,0,TP
jbmc-regression/StringBuilderChars05,False,18,TN
jbmc-regression/char1,True,0,TP
jbmc-regression/if_icmp1,True,0,TP
jbmc-regression/exceptions1,False,20,TN
jbmc-regression/assert6,True,0,TP
jbmc-regression/StringContains01,False,15,TN
jbmc-regression/ifxx1,True,0,TP
jbmc-regression/assert5,True,0,TP
jbmc-regression/uninitialised1,False,12,FN
jbmc-regression/StringBuilderConstructors01,False,22,FN
jbmc-regression/StringValueOf10,False,16,TN
jbmc-regression/StringMiscellaneous01,UNKNOWN,0,UNK
jbmc-regression/StringConstructors04,UNKNOWN,0,UNK
jbmc-regression/exceptions3,False,18,TN
jbmc-regression/exceptions14,True,0,TP
jbmc-regression/return2,False,15,TN
jbmc-regression/exceptions13,False,30,TN
jbmc-regression/exceptions15,True,0,TP
jbmc-regression/StringCompare03,False,19,TN
jbmc-regression/TokenTest01,UNKNOWN,0,UNK
jbmc-regression/exceptions16,False,19,TN
jbmc-regression/ArithmeticException5,True,0,TP
jbmc-regression/StringValueOf03,False,21,TN
jbmc-regression/tableswitch1,True,0,TP
jbmc-regression/StringBuilderCapLen02,False,14,TN
jbmc-regression/assert4,False,15,TN
jbmc-regression/CharSequenceBug,False,17,TN
jbmc-regression/athrow1,False,13,TN
jbmc-regression/interface1,False,15,TN
jbmc-regression/RegexMatches02,False,15,TN
jbmc-regression/ClassCastException2,True,0,TP
jbmc-regression/ArithmeticException1,False,14,TN
jbmc-regression/exceptions8,False,27,TN
jbmc-regression/assert1,True,0,TP
jbmc-regression/StringStartEnd01,UNKNOWN,0,UNK
jbmc-regression/StringBuilderChars01,False,13,FN
jbmc-regression/putstatic_getstatic1,False,16,FN
jbmc-regression/virtual1,True,0,TP
jbmc-regression/Inheritance1,False,39,FN
jbmc-regression/StringIndexMethods01,UNKNOWN,0,UNK
jbmc-regression/virtual_function_unwinding,False,33,FN
jbmc-regression/StringConstructors01,True,0,TP
jbmc-regression/StaticCharMethods05,UNKNOWN,0,UNK
jbmc-regression/charArray,UNKNOWN,0,UNK
jbmc-regression/exceptions2,False,18,TN
jbmc-regression/bitwise1,True,0,TP
jbmc-regression/StringValueOf06,False,15,TN
jbmc-regression/StringMiscellaneous03,False,18,TN
jbmc-regression/boolean1,True,0,TP
jbmc-regression/StringValueOf02,False,13,TN
jbmc-regression/StringBuilderCapLen01,False,14,FN
jbmc-regression/array2,True,0,TP
jbmc-regression/enum1,UNKNOWN,0,UNK
jbmc-regression/StringCompare04,False,15,TN
jbmc-regression/overloading1,True,0,TP
jbmc-regression/StringStartEnd02,False,23,TN
jbmc-regression/StringBuilderChars04,True,0,FP
jbmc-regression/swap1,True,0,TP
jbmc-regression/StringBuilderAppend01,True,0,TP
jbmc-regression/lazyloading4,False,18,FN
jbmc-regression/StringValueOf05,False,19,TN
jbmc-regression/RegexSubstitution03,False,13,FN
jbmc-regression/recursion2,True,0,TP
jbmc-regression/StaticCharMethods04,UNKNOWN,0,UNK
jbmc-regression/StringBuilderInsertDelete03,False,13,TN
jbmc-regression/exceptions6,False,25,TN
jbmc-regression/instanceof3,True,0,TP
jbmc-regression/classtest1,True,0,TP
jbmc-regression/StringValueOf04,False,15,TN
jbmc-regression/package1,True,0,TP
jbmc-regression/NullPointerException2,False,15,TN
jbmc-regression/bug-test-gen-119,False,16,FN
jbmc-regression/ClassCastException1,False,12,TN
jbmc-regression/NullPointerException3,False,15,TN
jbmc-regression/StringBuilderChars03,False,14,TN
jbmc-regression/cast1,True,0,TP
jbmc-regression/exceptions11,False,36,TN
jbmc-regression/Validate02,False,19,TN
jbmc-regression/StringBuilderInsertDelete01,False,11,FN
jbmc-regression/Validate01,False,11,FN
jbmc-regression/StringConstructors05,True,0,FP
jbmc-regression/StringBuilderInsertDelete02,False,50,TN
jbmc-regression/astore_aload1,UNKNOWN,0,UNK
jbmc-regression/StringCompare05,False,18,TN
jbmc-regression/NegativeArraySizeException1,False,12,TN
jbmc-regression/exceptions9,False,36,FN
jbmc-regression/StaticCharMethods03,UNKNOWN,0,UNK
jbmc-regression/NegativeArraySizeException2,False,12,TN
jbmc-regression/Class_method1,True,0,TP
jbmc-regression/java_append_char,False,13,TN
jbmc-regression/StringIndexMethods03,False,14,TN
jbmc-regression/list1,False,88,FN
jbmc-regression/instanceof4,True,0,TP
jbmc-regression/SubString03,False,13,TN
jbmc-regression/exceptions10,False,27,TN
jbmc-regression/SubString01,False,14,FN
jbmc-regression/aastore_aaload1,False,17,FN
jbmc-regression/StringConcatenation04,False,13,TN
jbmc-regression/StringIndexMethods05,False,14,TN
jbmc-regression/StringBuilderCapLen04,False,14,TN
jbmc-regression/return1,False,27,TN
jbmc-regression/StringBuilderConstructors02,False,15,TN
jbmc-regression/StaticCharMethods02,UNKNOWN,0,UNK
jbmc-regression/StringBuilderAppend02,UNKNOWN,0,UNK
jbmc-regression/StringValueOf07,False,16,TN
jbmc-regression/assert3,False,15,TN
jbmc-regression/StringContains02,False,14,TN
jbmc-regression/exceptions7,False,19,TN
jbmc-regression/iarith2,True,0,TP
jbmc-regression/instanceof2,False,11,FN
jbmc-regression/assert2,False,15,TN
jbmc-regression/fcmpx_dcmpx1,True,0,TP
jbmc-regression/array1,False,13,FN
jbmc-regression/StringIndexMethods02,False,14,TN
jbmc-regression/StringValueOf01,False,21,FN
jbmc-regression/StringMiscellaneous02,False,14,TN
jbmc-regression/RegexMatches01,False,14,FN
jbmc-regression/arraylength1,False,13,FN
jbmc-regression/if_expr1,True,0,TP
jbmc-regression/instanceof7,True,0,TP
jbmc-regression/boolean2,True,0,TP
jbmc-regression/instanceof1,True,0,TP
jbmc-regression/StringIndexMethods04,False,14,TN
jbmc-regression/NullPointerException1,True,0,TP
jbmc-regression/if_acmp1,True,0,TP
jbmc-regression/StringConstructors03,False,19,TN
jbmc-regression/StringBuilderChars06,False,15,TN
jbmc-regression/StaticCharMethods06,UNKNOWN,0,UNK
jbmc-regression/ClassCastException3,False,16,TN
jbmc-regression/iarith1,True,0,TP
jbmc-regression/StringStartEnd03,False,23,TN
jbmc-regression/TokenTest02,UNKNOWN,0,UNK
jbmc-regression/StringBuilderChars02,False,14,TN
jbmc-regression/lookupswitch1,True,0,TP
jbmc-regression/StringConstructors02,False,14,TN
jbmc-regression/ArrayIndexOutOfBoundsException2,False,13,TN
jbmc-regression/CharSequenceToString,False,15,FN
jbmc-regression/arrayread1,False,16,FN
jbmc-regression/StringCompare02,False,19,TN
jbmc-regression/SubString02,False,13,TN
jbmc-regression/exceptions18,True,0,TP
jbmc-regression/StringCompare01,False,18,FN
jbmc-regression/exceptions4,False,18,FN
jbmc-regression/exceptions5,False,20,FN
jbmc-regression/const1,True,0,TP
jbmc-regression/multinewarray,True,0,TP
jbmc-regression/putfield_getfield1,True,0,TP
jbmc-regression/virtual2,False,16,TN
jbmc-regression/virtual4,True,0,TP
jbmc-regression/store_load1,True,0,TP
jbmc-regression/StringValueOf08,False,16,TN
jbmc-regression/constructor1,False,32,FN
MinePump/spec1-5_product10,UNKNOWN,0,UNK
MinePump/spec1-5_product4,UNKNOWN,0,UNK
MinePump/spec1-5_product31,UNKNOWN,0,UNK
MinePump/spec1-5_product25,UNKNOWN,0,UNK
MinePump/spec1-5_product21,UNKNOWN,0,UNK
MinePump/spec1-5_product22,UNKNOWN,0,UNK
MinePump/spec1-5_product55,UNKNOWN,0,UNK
MinePump/spec1-5_product63,UNKNOWN,0,UNK
MinePump/spec1-5_product43,UNKNOWN,0,UNK
MinePump/spec1-5_product7,UNKNOWN,0,UNK
MinePump/spec1-5_product50,UNKNOWN,0,UNK
MinePump/spec1-5_product24,UNKNOWN,0,UNK
MinePump/spec1-5_product20,UNKNOWN,0,UNK
MinePump/spec1-5_product14,UNKNOWN,0,UNK
MinePump/spec1-5_product9,UNKNOWN,0,UNK
MinePump/spec1-5_product57,UNKNOWN,0,UNK
MinePump/spec1-5_product28,UNKNOWN,0,UNK
MinePump/spec1-5_product1,UNKNOWN,0,UNK
MinePump/spec1-5_product17,UNKNOWN,0,UNK
MinePump/spec1-5_product35,UNKNOWN,0,UNK
MinePump/spec1-5_product19,UNKNOWN,0,UNK
MinePump/spec1-5_product23,UNKNOWN,0,UNK
MinePump/spec1-5_product56,UNKNOWN,0,UNK
MinePump/spec1-5_product2,UNKNOWN,0,UNK
MinePump/spec1-5_product51,UNKNOWN,0,UNK
MinePump/spec1-5_product47,UNKNOWN,0,UNK
MinePump/spec1-5_product15,UNKNOWN,0,UNK
MinePump/spec1-5_product62,UNKNOWN,0,UNK
MinePump/spec1-5_product38,UNKNOWN,0,UNK
MinePump/spec1-5_product18,UNKNOWN,0,UNK
MinePump/spec1-5_product49,UNKNOWN,0,UNK
MinePump/spec1-5_product53,UNKNOWN,0,UNK
MinePump/spec1-5_product29,UNKNOWN,0,UNK
MinePump/spec1-5_product11,UNKNOWN,0,UNK
MinePump/spec1-5_product59,UNKNOWN,0,UNK
MinePump/spec1-5_product33,UNKNOWN,0,UNK
MinePump/spec1-5_product8,UNKNOWN,0,UNK
MinePump/spec1-5_product60,UNKNOWN,0,UNK
MinePump/spec1-5_product39,UNKNOWN,0,UNK
MinePump/spec1-5_product32,UNKNOWN,0,UNK
MinePump/spec1-5_product37,UNKNOWN,0,UNK
MinePump/spec1-5_product27,UNKNOWN,0,UNK
MinePump/spec1-5_product58,UNKNOWN,0,UNK
MinePump/spec1-5_product44,UNKNOWN,0,UNK
MinePump/spec1-5_product52,UNKNOWN,0,UNK
MinePump/spec1-5_product5,UNKNOWN,0,UNK
MinePump/spec1-5_product48,UNKNOWN,0,UNK
MinePump/spec1-5_product40,UNKNOWN,0,UNK
MinePump/spec1-5_product42,UNKNOWN,0,UNK
MinePump/spec1-5_product13,UNKNOWN,0,UNK
MinePump/spec1-5_product45,UNKNOWN,0,UNK
MinePump/spec1-5_product46,UNKNOWN,0,UNK
MinePump/spec1-5_product30,UNKNOWN,0,UNK
MinePump/spec1-5_product54,UNKNOWN,0,UNK
MinePump/spec1-5_product34,UNKNOWN,0,UNK
MinePump/spec1-5_product41,UNKNOWN,0,UNK
MinePump/spec1-5_product36,UNKNOWN,0,UNK
MinePump/spec1-5_product61,UNKNOWN,0,UNK
MinePump/spec1-5_product3,UNKNOWN,0,UNK
MinePump/spec1-5_product6,UNKNOWN,0,UNK
MinePump/spec1-5_product16,UNKNOWN,0,UNK
MinePump/spec1-5_product26,UNKNOWN,0,UNK
MinePump/spec1-5_product12,UNKNOWN,0,UNK
MinePump/spec1-5_product64,UNKNOWN,0,UNK
jdart-regression/startswith,True,0,TP
jdart-regression/boundcheck30,True,0,FP
jdart-regression/double2long,False,47,TN
jdart-regression/radians,False,33,TN
jdart-regression/float,False,14,TN
jdart-regression/boundcheck200,True,0,FP
jdart-regression/URLDecoder02,False,18,TN
jdart-regression/boundcheck100,True,0,FP
jdart-regression/URLDecoder01,False,18,FN
jdart-regression/shifting,False,20,TN
jdart-regression/shifting2,True,0,FP
jdart-regression/shifting3,True,0,FP
jdart-regression/list2,False,91,FN
jdart-regression/addition01,UNKNOWN,0,UNK
jdart-regression/array-iteration01,True,0,FP
jdart-regression/OverapproximationString01,False,15,TN
rtems-lock-model/lock-00-01-10,UNKNOWN,0,UNK
jayhorn-recursive/SatFibonacci02,UNKNOWN,0,UNK
jayhorn-recursive/SatAckermann01,UNKNOWN,0,UNK
jayhorn-recursive/SatMccarthy91,UNKNOWN,0,UNK
jayhorn-recursive/InfiniteLoop,False,18,TN
jayhorn-recursive/UnsatAddition01,False,29,TN
jayhorn-recursive/SatAckermann02,UNKNOWN,0,UNK
jayhorn-recursive/UnsatAddition02,True,0,FP
jayhorn-recursive/UnsatMccarthy91,UNKNOWN,0,UNK
jayhorn-recursive/SatAddition01,UNKNOWN,0,UNK
jayhorn-recursive/Ackermann01,UNKNOWN,0,UNK
jayhorn-recursive/SatEvenOdd01,True,0,TP
jayhorn-recursive/SatGcd,UNKNOWN,0,UNK
jayhorn-recursive/Addition,UNKNOWN,0,UNK
jayhorn-recursive/UnsatFibonacci02,UNKNOWN,0,UNK
jayhorn-recursive/SatPrimes01,UNKNOWN,0,UNK
jayhorn-recursive/UnsatFibonacci01,UNKNOWN,0,UNK
jayhorn-recursive/SatFibonacci03,UNKNOWN,0,UNK
jayhorn-recursive/SatMultCommutative01,UNKNOWN,0,UNK
jayhorn-recursive/SatFibonacci01,UNKNOWN,0,UNK
jayhorn-recursive/UnsatAckermann01,UNKNOWN,0,UNK
jayhorn-recursive/SatAckermann03,UNKNOWN,0,UNK
jayhorn-recursive/SatHanoi01,UNKNOWN,0,UNK
jayhorn-recursive/UnsatEvenOdd01,False,43,TN
jpf-regression/ExSymExe29_false,False,32,TN
jpf-regression/ExSymExe10_true,False,33,FN
jpf-regression/ExSymExeComplexMath_false,False,46,TN
jpf-regression/ExSymExe4_true,False,31,FN
jpf-regression/ExSymExeTestClassFields_false,False,40,TN
jpf-regression/ExSymExe7_true,False,32,FN
jpf-regression/ExSymExeGetStatic_false,False,44,TN
jpf-regression/ExSymExe5_true,False,31,FN
jpf-regression/ExSymExeGetStatic_true,False,31,FN
